trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'e': 0.7812383422209839, 'a': 0.9}",25,0,-136.25576586761886,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",1
80,False,"{'e': 0.7788007830714049, 'a': 0.9}",30,0,-230.55455774873343,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
81,False,"{'e': 0.7763708294044125, 'a': 0.9}",20,10,-5.866342055174892,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'e': 0.773948457489971, 'a': 0.9}",25,0,-63.26405538060984,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
83,False,"{'e': 0.7715336436720854, 'a': 0.9}",25,0,-35.05255370469078,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
84,False,"{'e': 0.7691263643685705, 'a': 0.9}",20,0,-83.16843622780227,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
85,False,"{'e': 0.76672659607082, 'a': 0.9}",20,0,-182.38141030658562,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
86,False,"{'e': 0.7643343153435778, 'a': 0.9}",20,0,-93.6080015105899,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
87,False,"{'e': 0.7619494988247082, 'a': 0.9}",20,13,5.4528606888058135,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'e': 0.7595721232249685, 'a': 0.9}",25,8,-10.554605876635936,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
89,False,"{'e': 0.7572021653277812, 'a': 0.9}",20,0,-22.48376950468551,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
90,False,"{'e': 0.7548396019890073, 'a': 0.9}",20,12,3.6465214617780877,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'e': 0.7524844101367206, 'a': 0.9}",20,0,-26.528888659970708,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
92,False,"{'e': 0.7501365667709818, 'a': 0.9}",20,0,-38.83906960136182,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
93,False,"{'e': 0.7477960489636145, 'a': 0.9}",30,0,-65.67605718873526,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
94,False,"{'e': 0.7454628338579807, 'a': 0.9}",20,0,-71.58718566080823,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
95,False,"{'e': 0.7431368986687583, 'a': 0.9}",35,4,-93.56651069666982,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 2}",1
96,False,"{'e': 0.7408182206817179, 'a': 0.9}",25,15,-5.095828585517392,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'e': 0.7385067772535012, 'a': 0.9}",20,0,-38.53714793895367,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
98,False,"{'e': 0.7362025458114003, 'a': 0.9}",20,0,-5.543923995672107,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
99,False,"{'e': 0.7339055038531368, 'a': 0.9}",25,0,-93.46964070991629,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
100,False,"{'e': 0.7316156289466418, 'a': 0.9}",25,0,-99.91713431234102,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
101,False,"{'e': 0.7293328987298376, 'a': 0.9}",20,8,-62.962018781000836,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
102,False,"{'e': 0.7270572909104188, 'a': 0.9}",30,0,-87.27594713275323,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
103,False,"{'e': 0.7247887832656347, 'a': 0.9}",20,0,-15.725987388118305,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
104,False,"{'e': 0.7225273536420722, 'a': 0.9}",20,0,-46.49001125010272,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
105,False,"{'e': 0.7202729799554398, 'a': 0.9}",20,14,-2.2109254254366517,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'e': 0.7180256401903514, 'a': 0.9}",25,12,-37.40059346547893,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
107,False,"{'e': 0.715785312400112, 'a': 0.9}",20,0,-23.332149620802497,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
108,False,"{'e': 0.7135519747065024, 'a': 0.9}",20,0,-56.625037620021544,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
109,False,"{'e': 0.7113256052995668, 'a': 0.9}",25,9,-60.17628319682732,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
110,False,"{'e': 0.7091061824373984, 'a': 0.9}",25,0,-77.84391781819743,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
111,False,"{'e': 0.7068936844459284, 'a': 0.9}",20,11,8.057704730857676,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'e': 0.7046880897187134, 'a': 0.9}",25,0,-42.19184861058427,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
113,False,"{'e': 0.702489376716725, 'a': 0.9}",30,21,7.009497392782249,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'e': 0.7002975239681389, 'a': 0.9}",20,2,-88.27442777316269,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
115,False,"{'e': 0.6981125100681258, 'a': 0.9}",30,12,-91.96781235010656,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
116,False,"{'e': 0.695934313678642, 'a': 0.9}",25,0,-83.81855503876545,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
117,False,"{'e': 0.693762913528221, 'a': 0.9}",25,0,-48.22769318555378,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
118,False,"{'e': 0.6915982884117658, 'a': 0.9}",25,18,2.2547747525722124,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'e': 0.6894404171903423, 'a': 0.9}",25,0,-94.5174078514288,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
120,False,"{'e': 0.6872892787909722, 'a': 0.9}",20,0,-96.08373834368618,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
121,False,"{'e': 0.6851448522064273, 'a': 0.9}",20,0,-51.480855864784,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
122,False,"{'e': 0.6830071164950248, 'a': 0.9}",30,4,8.222836595729738,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 0}",1
123,False,"{'e': 0.6808760507804223, 'a': 0.9}",20,3,-81.22898660043667,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
124,False,"{'e': 0.6787516342514144, 'a': 0.9}",20,0,-26.59406846875486,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
125,False,"{'e': 0.676633846161729, 'a': 0.9}",30,0,-48.25244273881698,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
126,False,"{'e': 0.6745226658298248, 'a': 0.9}",30,0,-59.20563979847794,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
127,False,"{'e': 0.6724180726386898, 'a': 0.9}",20,11,-55.991182917555946,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
128,False,"{'e': 0.6703200460356393, 'a': 0.9}",20,0,-36.281142840062806,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
129,False,"{'e': 0.6682285655321156, 'a': 0.9}",25,0,-67.80014010098785,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
130,False,"{'e': 0.6661436107034878, 'a': 0.9}",20,0,-163.62893303695822,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
131,False,"{'e': 0.6640651611888523, 'a': 0.9}",20,0,-86.17332536877441,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
132,False,"{'e': 0.661993196690834, 'a': 0.9}",25,0,-44.59433166456828,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
133,False,"{'e': 0.6599276969753882, 'a': 0.9}",25,15,-56.19442588149256,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
134,False,"{'e': 0.6578686418716029, 'a': 0.9}",25,0,-114.28165628836706,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
135,False,"{'e': 0.6558160112715016, 'a': 0.9}",25,16,-11.29991785973886,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
136,False,"{'e': 0.6537697851298473, 'a': 0.9}",35,0,-67.27906084456002,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
137,False,"{'e': 0.6517299434639466, 'a': 0.9}",35,0,-69.66203072067461,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
138,False,"{'e': 0.6496964663534546, 'a': 0.9}",20,0,-29.1959128175637,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
139,False,"{'e': 0.64766933394018, 'a': 0.9}",30,21,-6.776733626956308,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'e': 0.645648526427892, 'a': 0.9}",20,0,-73.71049186830342,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
141,False,"{'e': 0.6436340240821261, 'a': 0.9}",20,9,8.192533083308598,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'e': 0.6416258072299917, 'a': 0.9}",25,0,-23.391253810772135,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
143,False,"{'e': 0.6396238562599802, 'a': 0.9}",30,19,6.911445221145653,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.6376281516217733, 'a': 0.9}",25,12,-36.655420085761605,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
145,False,"{'e': 0.635638673826052, 'a': 0.9}",20,0,-30.953799018365515,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
146,False,"{'e': 0.6336554034443064, 'a': 0.9}",30,0,-34.895810197392215,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
147,False,"{'e': 0.6316783211086459, 'a': 0.9}",25,0,-106.24604518616934,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
148,False,"{'e': 0.62970740751161, 'a': 0.9}",20,6,-77.04080928672742,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
